segment_name,confidence_assessment,openface_dominant_emotion_approx,openface_emotion_scores,openface_au_means,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad
8Dv2Hdf5TRg_seg000,4.0,angry,"{'AU01_r': 0.345, 'AU02_r': 0.136, 'AU04_r': 0.907, 'AU05_r': 0.064, 'AU06_r': 0.565, 'AU07_r': 0.611, 'AU09_r': 0.102, 'AU10_r': 0.828, 'AU12_r': 0.709, 'AU14_r': 0.173, 'AU15_r': 0.332, 'AU17_r': 0.607, 'AU20_r': 0.198, 'AU23_r': 0.263, 'AU25_r': 0.567, 'AU26_r': 0.554, 'AU45_r': 0.234}","{'happy': 0.709, 'surprised': 0.481, 'angry': 0.907, 'sad': 0.332}",0.345,0.136,0.907,0.064,0.565,0.611,0.102,0.828,0.709,0.173,0.332,0.607,0.198,0.263,0.567,0.554,0.234,0.709,0.481,0.907,0.332
8Dv2Hdf5TRg_seg001,4.0,angry,"{'AU01_r': 0.252, 'AU02_r': 0.126, 'AU04_r': 0.865, 'AU05_r': 0.057, 'AU06_r': 0.417, 'AU07_r': 1.017, 'AU09_r': 0.098, 'AU10_r': 0.624, 'AU12_r': 0.437, 'AU14_r': 0.042, 'AU15_r': 0.149, 'AU17_r': 0.634, 'AU20_r': 0.148, 'AU23_r': 0.385, 'AU25_r': 0.569, 'AU26_r': 0.763, 'AU45_r': 0.219}","{'happy': 0.437, 'surprised': 0.378, 'angry': 0.865, 'sad': 0.149}",0.252,0.126,0.865,0.057,0.417,1.017,0.098,0.624,0.437,0.042,0.149,0.634,0.148,0.385,0.569,0.763,0.219,0.437,0.378,0.865,0.149
8Dv2Hdf5TRg_seg002,3.0,angry,"{'AU01_r': 0.205, 'AU02_r': 0.167, 'AU04_r': 0.722, 'AU05_r': 0.107, 'AU06_r': 0.451, 'AU07_r': 0.958, 'AU09_r': 0.096, 'AU10_r': 0.52, 'AU12_r': 0.305, 'AU14_r': 0.144, 'AU15_r': 0.354, 'AU17_r': 0.673, 'AU20_r': 0.155, 'AU23_r': 0.381, 'AU25_r': 0.526, 'AU26_r': 0.698, 'AU45_r': 0.22}","{'happy': 0.305, 'surprised': 0.373, 'angry': 0.722, 'sad': 0.354}",0.205,0.167,0.722,0.107,0.451,0.958,0.096,0.52,0.305,0.144,0.354,0.673,0.155,0.381,0.526,0.698,0.22,0.305,0.373,0.722,0.354
8Dv2Hdf5TRg_seg003,3.0,angry,"{'AU01_r': 0.298, 'AU02_r': 0.154, 'AU04_r': 0.844, 'AU05_r': 0.077, 'AU06_r': 0.712, 'AU07_r': 1.039, 'AU09_r': 0.188, 'AU10_r': 0.685, 'AU12_r': 0.551, 'AU14_r': 0.147, 'AU15_r': 0.335, 'AU17_r': 0.513, 'AU20_r': 0.132, 'AU23_r': 0.298, 'AU25_r': 0.568, 'AU26_r': 0.563, 'AU45_r': 0.232}","{'happy': 0.551, 'surprised': 0.452, 'angry': 0.844, 'sad': 0.335}",0.298,0.154,0.844,0.077,0.712,1.039,0.188,0.685,0.551,0.147,0.335,0.513,0.132,0.298,0.568,0.563,0.232,0.551,0.452,0.844,0.335
8Dv2Hdf5TRg_seg004,3.0,angry,"{'AU01_r': 0.426, 'AU02_r': 0.241, 'AU04_r': 0.782, 'AU05_r': 0.198, 'AU06_r': 0.645, 'AU07_r': 1.161, 'AU09_r': 0.101, 'AU10_r': 0.942, 'AU12_r': 0.646, 'AU14_r': 0.377, 'AU15_r': 0.368, 'AU17_r': 0.781, 'AU20_r': 0.151, 'AU23_r': 0.435, 'AU25_r': 0.759, 'AU26_r': 0.813, 'AU45_r': 0.191}","{'happy': 0.646, 'surprised': 0.667, 'angry': 0.782, 'sad': 0.368}",0.426,0.241,0.782,0.198,0.645,1.161,0.101,0.942,0.646,0.377,0.368,0.781,0.151,0.435,0.759,0.813,0.191,0.646,0.667,0.782,0.368
8Dv2Hdf5TRg_seg005,3.0,angry,"{'AU01_r': 0.313, 'AU02_r': 0.227, 'AU04_r': 0.953, 'AU05_r': 0.149, 'AU06_r': 0.56, 'AU07_r': 0.949, 'AU09_r': 0.095, 'AU10_r': 0.674, 'AU12_r': 0.502, 'AU14_r': 0.344, 'AU15_r': 0.364, 'AU17_r': 0.72, 'AU20_r': 0.196, 'AU23_r': 0.383, 'AU25_r': 0.737, 'AU26_r': 1.033, 'AU45_r': 0.223}","{'happy': 0.502, 'surprised': 0.54, 'angry': 0.953, 'sad': 0.364}",0.313,0.227,0.953,0.149,0.56,0.949,0.095,0.674,0.502,0.344,0.364,0.72,0.196,0.383,0.737,1.033,0.223,0.502,0.54,0.953,0.364
8Dv2Hdf5TRg_seg006,4.0,angry,"{'AU01_r': 0.328, 'AU02_r': 0.163, 'AU04_r': 0.791, 'AU05_r': 0.111, 'AU06_r': 0.456, 'AU07_r': 0.886, 'AU09_r': 0.138, 'AU10_r': 0.585, 'AU12_r': 0.463, 'AU14_r': 0.145, 'AU15_r': 0.27, 'AU17_r': 0.703, 'AU20_r': 0.193, 'AU23_r': 0.239, 'AU25_r': 0.658, 'AU26_r': 0.843, 'AU45_r': 0.216}","{'happy': 0.463, 'surprised': 0.491, 'angry': 0.791, 'sad': 0.27}",0.328,0.163,0.791,0.111,0.456,0.886,0.138,0.585,0.463,0.145,0.27,0.703,0.193,0.239,0.658,0.843,0.216,0.463,0.491,0.791,0.27
8Dv2Hdf5TRg_seg007,4.0,angry,"{'AU01_r': 0.432, 'AU02_r': 0.307, 'AU04_r': 1.038, 'AU05_r': 0.156, 'AU06_r': 0.384, 'AU07_r': 0.842, 'AU09_r': 0.113, 'AU10_r': 0.693, 'AU12_r': 0.367, 'AU14_r': 0.221, 'AU15_r': 0.524, 'AU17_r': 0.926, 'AU20_r': 0.173, 'AU23_r': 0.489, 'AU25_r': 0.884, 'AU26_r': 0.969, 'AU45_r': 0.298}","{'happy': 0.367, 'surprised': 0.739, 'angry': 1.038, 'sad': 0.524}",0.432,0.307,1.038,0.156,0.384,0.842,0.113,0.693,0.367,0.221,0.524,0.926,0.173,0.489,0.884,0.969,0.298,0.367,0.739,1.038,0.524
8Dv2Hdf5TRg_seg008,4.0,angry,"{'AU01_r': 0.304, 'AU02_r': 0.103, 'AU04_r': 0.794, 'AU05_r': 0.07, 'AU06_r': 0.476, 'AU07_r': 0.856, 'AU09_r': 0.071, 'AU10_r': 0.711, 'AU12_r': 0.361, 'AU14_r': 0.268, 'AU15_r': 0.373, 'AU17_r': 0.801, 'AU20_r': 0.124, 'AU23_r': 0.165, 'AU25_r': 0.592, 'AU26_r': 0.911, 'AU45_r': 0.237}","{'happy': 0.361, 'surprised': 0.408, 'angry': 0.794, 'sad': 0.373}",0.304,0.103,0.794,0.07,0.476,0.856,0.071,0.711,0.361,0.268,0.373,0.801,0.124,0.165,0.592,0.911,0.237,0.361,0.408,0.794,0.373
8Dv2Hdf5TRg_seg009,4.0,angry,"{'AU01_r': 0.357, 'AU02_r': 0.168, 'AU04_r': 0.722, 'AU05_r': 0.082, 'AU06_r': 0.421, 'AU07_r': 1.08, 'AU09_r': 0.173, 'AU10_r': 0.457, 'AU12_r': 0.253, 'AU14_r': 0.079, 'AU15_r': 0.212, 'AU17_r': 0.609, 'AU20_r': 0.223, 'AU23_r': 0.35, 'AU25_r': 0.595, 'AU26_r': 0.661, 'AU45_r': 0.207}","{'happy': 0.253, 'surprised': 0.526, 'angry': 0.722, 'sad': 0.212}",0.357,0.168,0.722,0.082,0.421,1.08,0.173,0.457,0.253,0.079,0.212,0.609,0.223,0.35,0.595,0.661,0.207,0.253,0.526,0.722,0.212
