segment_name,confidence_assessment,mediapipe_mouth_openness_mean,mediapipe_mouth_openness_variance,mediapipe_eyebrow_height_mean,mediapipe_eyebrow_height_variance,mediapipe_frames_analyzed,deepface_most_frequent_emotion,deepface_emotion_distribution_%,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_neutral,deepface_sad,deepface_surprise
8Dv2Hdf5TRg_seg000,4.0,0.01028,5e-05,0.02172,1e-05,25.0,sad,"{'happy': 8.0, 'sad': 28.0, 'fear': 24.0, 'neutral': 24.0, 'angry': 12.0, 'disgust': 4.0}",12.0,4.0,24.0,8.0,24.0,28.0,0.0
8Dv2Hdf5TRg_seg001,4.0,0.00838,3e-05,0.02263,1e-05,26.0,sad,"{'sad': 42.3, 'fear': 30.8, 'neutral': 15.4, 'surprise': 7.7, 'angry': 3.8}",3.8,0.0,30.8,0.0,15.4,42.3,7.7
8Dv2Hdf5TRg_seg002,3.0,0.00642,3e-05,0.02367,0.0,26.0,fear,"{'angry': 38.5, 'fear': 50.0, 'sad': 3.8, 'surprise': 7.7}",38.5,0.0,50.0,0.0,0.0,3.8,7.7
8Dv2Hdf5TRg_seg003,3.0,0.00763,3e-05,0.02237,1e-05,26.0,fear,"{'surprise': 7.7, 'angry': 7.7, 'happy': 19.2, 'sad': 15.4, 'fear': 46.2, 'neutral': 3.8}",7.7,0.0,46.2,19.2,3.8,15.4,7.7
8Dv2Hdf5TRg_seg004,3.0,0.00807,4e-05,0.02131,1e-05,25.0,fear,"{'angry': 16.0, 'fear': 48.0, 'surprise': 8.0, 'sad': 16.0, 'happy': 12.0}",16.0,0.0,48.0,12.0,0.0,16.0,8.0
8Dv2Hdf5TRg_seg005,3.0,0.01088,6e-05,0.02942,3e-05,25.0,fear,"{'fear': 36.0, 'angry': 32.0, 'sad': 24.0, 'neutral': 4.0, 'surprise': 4.0}",32.0,0.0,36.0,0.0,4.0,24.0,4.0
8Dv2Hdf5TRg_seg006,4.0,0.00664,2e-05,0.02067,0.0,25.0,sad,"{'sad': 48.0, 'fear': 32.0, 'neutral': 8.0, 'angry': 8.0, 'happy': 4.0}",8.0,0.0,32.0,4.0,8.0,48.0,0.0
8Dv2Hdf5TRg_seg007,4.0,0.0104,6e-05,0.03349,2e-05,25.0,fear,"{'fear': 32.0, 'angry': 28.0, 'sad': 16.0, 'neutral': 8.0, 'happy': 12.0, 'surprise': 4.0}",28.0,0.0,32.0,12.0,8.0,16.0,4.0
8Dv2Hdf5TRg_seg008,4.0,0.00788,3e-05,0.02718,1e-05,25.0,fear,"{'fear': 36.0, 'happy': 20.0, 'angry': 4.0, 'sad': 24.0, 'surprise': 4.0, 'neutral': 12.0}",4.0,0.0,36.0,20.0,12.0,24.0,4.0
8Dv2Hdf5TRg_seg009,4.0,0.01107,6e-05,0.0324,2e-05,27.0,fear,"{'angry': 18.5, 'fear': 51.9, 'sad': 18.5, 'happy': 7.4, 'neutral': 3.7}",18.5,0.0,51.9,7.4,3.7,18.5,0.0
8Dv2Hdf5TRg_seg010,4.0,0.01068,5e-05,0.03024,1e-05,26.0,fear,"{'happy': 15.4, 'fear': 46.2, 'angry': 7.7, 'neutral': 7.7, 'surprise': 3.8, 'sad': 19.2}",7.7,0.0,46.2,15.4,7.7,19.2,3.8
